,Model,Dataset,MMD,RepBias,MeanDiff,MAE Gap,MSE Gap,Wasserstein,JS Divergence
105,GraphSAGERegressor,region_job_g,,,0.026159681,0.0015242696,0.0011739135,0.0313822395852249,0.0509048690853367
106,MLPRegressor,region_job_g,,,0.027384765,0.0023255348,0.0016750693,0.03157140623573147,0.0425836664065233
107,FMP,region_job_r,,,0.041729935,0.007955372,0.004972428,0.042089650976827216,0.4208291540399544
108,FairGNN,region_job_r,0.018735527992248535,0.0,1.0780976,0.017487526,0.06045884,1.0805469363360738,0.8110516797953065
109,FairRegGNN,region_job_r,0.0050803422927856445,0.010154538463342126,0.013685565,0.041457653,0.03880243,0.04130321913270916,0.09906666885246937
110,GATRegressor,region_job_r,,,0.109892406,0.015593886,0.02831161,0.1117062093284791,0.2996680564659796
111,GCNRegressor,region_job_r,,,0.067775846,0.04224497,0.06415439,0.08199642880524681,0.3138358851098005
112,GINRegressor,region_job_r,,,0.09945883,0.02307576,0.021042794,0.09974383056940359,0.6972227577769481
113,GMMD,region_job_r,,,0.07481949,0.013624668,0.01584655,0.07600058273865566,0.10874760017330555
114,GraphSAGERegressor,region_job_r,,,0.08182808,0.011237085,0.010258436,0.08266062115339216,0.10543380608827337
115,MLPRegressor,region_job_r,,,0.077692464,0.014190793,0.01636827,0.0785433185306719,0.06316572913999292
